,filepath,class
0,Amanita excelsa Gonn. & Rabenh./2816361340-208034.JPG,Amanita excelsa Gonn. & Rabenh.
1,Amanita excelsa Gonn. & Rabenh./2238470283-18312.JPG,Amanita excelsa Gonn. & Rabenh.
2,Amanita excelsa Gonn. & Rabenh./2238474312-316644.JPG,Amanita excelsa Gonn. & Rabenh.
3,Amanita excelsa Gonn. & Rabenh./2424124625-194368.JPG,Amanita excelsa Gonn. & Rabenh.
4,Amanita excelsa Gonn. & Rabenh./2804915316-281892.JPG,Amanita excelsa Gonn. & Rabenh.
5,Amanita excelsa Gonn. & Rabenh./2425495041-269058.JPG,Amanita excelsa Gonn. & Rabenh.
6,Amanita excelsa Gonn. & Rabenh./2816367344-133750.JPG,Amanita excelsa Gonn. & Rabenh.
7,Amanita excelsa Gonn. & Rabenh./2821593350-208763.JPG,Amanita excelsa Gonn. & Rabenh.
8,Amanita excelsa Gonn. & Rabenh./2868481400-213580.JPG,Amanita excelsa Gonn. & Rabenh.
9,Amanita excelsa Gonn. & Rabenh./2273187658-40747.JPG,Amanita excelsa Gonn. & Rabenh.
10,Amanita excelsa Gonn. & Rabenh./2238162441-230755.JPG,Amanita excelsa Gonn. & Rabenh.
11,Amanita excelsa Gonn. & Rabenh./2238495198-22056.JPG,Amanita excelsa Gonn. & Rabenh.
12,Amanita excelsa Gonn. & Rabenh./2238213579-84774.JPG,Amanita excelsa Gonn. & Rabenh.
13,Amanita excelsa Gonn. & Rabenh./2238494000-170045.JPG,Amanita excelsa Gonn. & Rabenh.
14,Amanita excelsa Gonn. & Rabenh./2382323446-265378.JPG,Amanita excelsa Gonn. & Rabenh.
15,Amanita excelsa Gonn. & Rabenh./2874310405-214698.JPG,Amanita excelsa Gonn. & Rabenh.
16,Amanita excelsa Gonn. & Rabenh./2874308336-289274.JPG,Amanita excelsa Gonn. & Rabenh.
17,Amanita excelsa Gonn. & Rabenh./2864906408-64013.JPG,Amanita excelsa Gonn. & Rabenh.
18,Amanita excelsa Gonn. & Rabenh./2238145653-7490.JPG,Amanita excelsa Gonn. & Rabenh.
19,Amanita excelsa Gonn. & Rabenh./2273187565-189107.JPG,Amanita excelsa Gonn. & Rabenh.
20,Amanita excelsa Gonn. & Rabenh./2640669315-207266.JPG,Amanita excelsa Gonn. & Rabenh.
21,Amanita excelsa Gonn. & Rabenh./2804918330-207613.JPG,Amanita excelsa Gonn. & Rabenh.
22,Amanita excelsa Gonn. & Rabenh./2238495198-22053.JPG,Amanita excelsa Gonn. & Rabenh.
23,Amanita excelsa Gonn. & Rabenh./2273838115-189267.JPG,Amanita excelsa Gonn. & Rabenh.
24,Amanita excelsa Gonn. & Rabenh./2238497996-244671.JPG,Amanita excelsa Gonn. & Rabenh.
25,Amanita excelsa Gonn. & Rabenh./2238152567-305546.JPG,Amanita excelsa Gonn. & Rabenh.
26,Amanita excelsa Gonn. & Rabenh./2238502404-97234.JPG,Amanita excelsa Gonn. & Rabenh.
27,Amanita excelsa Gonn. & Rabenh./2864907326-287051.JPG,Amanita excelsa Gonn. & Rabenh.
28,Amanita excelsa Gonn. & Rabenh./2265771731-262880.JPG,Amanita excelsa Gonn. & Rabenh.
29,Amanita excelsa Gonn. & Rabenh./2238148074-81965.JPG,Amanita excelsa Gonn. & Rabenh.
30,Amanita excelsa Gonn. & Rabenh./2874310405-214697.JPG,Amanita excelsa Gonn. & Rabenh.
31,Amanita excelsa Gonn. & Rabenh./2238556685-181295.JPG,Amanita excelsa Gonn. & Rabenh.
32,Amanita excelsa Gonn. & Rabenh./2238211270-158719.JPG,Amanita excelsa Gonn. & Rabenh.
33,Amanita excelsa Gonn. & Rabenh./2424124625-194367.JPG,Amanita excelsa Gonn. & Rabenh.
34,Amanita excelsa Gonn. & Rabenh./2868481442-363327.JPG,Amanita excelsa Gonn. & Rabenh.
35,Amanita excelsa Gonn. & Rabenh./2812995332-357242.JPG,Amanita excelsa Gonn. & Rabenh.
36,Amanita excelsa Gonn. & Rabenh./2425495632-344408.JPG,Amanita excelsa Gonn. & Rabenh.
37,Amanita excelsa Gonn. & Rabenh./2238191528-9614.JPG,Amanita excelsa Gonn. & Rabenh.
38,Amanita excelsa Gonn. & Rabenh./2238559160-181877.JPG,Amanita excelsa Gonn. & Rabenh.
39,Amanita excelsa Gonn. & Rabenh./2238557288-32949.JPG,Amanita excelsa Gonn. & Rabenh.
40,Agaricus impudicus (Rea) Pilát/2238359494-87452.JPG,Agaricus impudicus (Rea) Pilát
41,Agaricus impudicus (Rea) Pilát/2238091808-6032.JPG,Agaricus impudicus (Rea) Pilát
42,Agaricus impudicus (Rea) Pilát/2238501020-171194.JPG,Agaricus impudicus (Rea) Pilát
43,Agaricus impudicus (Rea) Pilát/2430666833-48428.JPG,Agaricus impudicus (Rea) Pilát
44,Agaricus impudicus (Rea) Pilát/2430667610-197133.JPG,Agaricus impudicus (Rea) Pilát
45,Agaricus impudicus (Rea) Pilát/2238119741-228564.JPG,Agaricus impudicus (Rea) Pilát
46,Agaricus impudicus (Rea) Pilát/2425493270-194725.JPG,Agaricus impudicus (Rea) Pilát
