,filepath,class
0,Lycorma delicatula/49714.jpg,Lycorma delicatula
1,Lycorma delicatula/48232.jpg,Lycorma delicatula
2,Lycorma delicatula/48044.jpg,Lycorma delicatula
3,Lycorma delicatula/48536.jpg,Lycorma delicatula
4,Lycorma delicatula/48567.jpg,Lycorma delicatula
5,Lycorma delicatula/48851.jpg,Lycorma delicatula
6,Lycorma delicatula/47384.jpg,Lycorma delicatula
7,Lycorma delicatula/48983.jpg,Lycorma delicatula
8,Lycorma delicatula/45502.jpg,Lycorma delicatula
9,Lycorma delicatula/49733.jpg,Lycorma delicatula
10,Lycorma delicatula/45815.jpg,Lycorma delicatula
11,Lycorma delicatula/49469.jpg,Lycorma delicatula
12,Lycorma delicatula/49394.jpg,Lycorma delicatula
13,Lycorma delicatula/47100.jpg,Lycorma delicatula
14,Lycorma delicatula/48093.jpg,Lycorma delicatula
15,Lycorma delicatula/45075.jpg,Lycorma delicatula
16,Lycorma delicatula/44882.jpg,Lycorma delicatula
17,Lycorma delicatula/48214.jpg,Lycorma delicatula
18,Lycorma delicatula/48943.jpg,Lycorma delicatula
19,Lycorma delicatula/49784.jpg,Lycorma delicatula
20,Lycorma delicatula/48733.jpg,Lycorma delicatula
21,Lycorma delicatula/46744.jpg,Lycorma delicatula
22,Lycorma delicatula/47830.jpg,Lycorma delicatula
23,Lycorma delicatula/48596.jpg,Lycorma delicatula
24,Lycorma delicatula/48415.jpg,Lycorma delicatula
25,Lycorma delicatula/47680.jpg,Lycorma delicatula
26,Lycorma delicatula/48259.jpg,Lycorma delicatula
27,Lycorma delicatula/44818.jpg,Lycorma delicatula
28,Lycorma delicatula/48589.jpg,Lycorma delicatula
29,Lycorma delicatula/47410.jpg,Lycorma delicatula
30,Lycorma delicatula/46917.jpg,Lycorma delicatula
31,Lycorma delicatula/46842.jpg,Lycorma delicatula
32,Lycorma delicatula/45877.jpg,Lycorma delicatula
33,Lycorma delicatula/46088.jpg,Lycorma delicatula
34,Lycorma delicatula/48859.jpg,Lycorma delicatula
35,Lycorma delicatula/49780.jpg,Lycorma delicatula
36,Lycorma delicatula/48873.jpg,Lycorma delicatula
