,filepath,class
0,Apidae/13171951931317206297995.jpg,Apidae
1,Apidae/1408480752180.jpg,Apidae
2,Apidae/322093d2-a5ae-4d44-9e67-eebb18d0d2d5.jpeg,Apidae
3,Apidae/23c12e4e-4879-452a-a4aa-24600412a325.jpg,Apidae
4,Apidae/1544186864655.jpg,Apidae
5,Apidae/1526059071161.jpg,Apidae
6,Apidae/13079792161307987471767.jpg,Apidae
7,Apidae/12863015971286300760934.jpg,Apidae
8,Apidae/1366753427826.jpg,Apidae
9,Apidae/11eec358-d8ca-4ea1-acb8-f425915b2af1.jpg,Apidae
10,Apidae/1557564551864.jpg,Apidae
11,Apidae/1360416284215.jpg,Apidae
12,Apidae/7f51ecef-59ea-43e9-922d-c3053d8a8089.jpg,Apidae
13,Apidae/c8503fbc-0de8-43cc-bc0b-35eb31689ed5.jpg,Apidae
14,Apidae/13107405411310749650326.jpg,Apidae
15,Apidae/13507656131350765612719.jpg,Apidae
16,Apidae/1460244849864.jpg,Apidae
17,Apidae/91c08920-a912-4abf-a80d-768ef3d27bf2.jpg,Apidae
18,Apidae/1442666755490.jpg,Apidae
19,Apidae/1371066700419.jpg,Apidae
20,Apidae/12838280361283830110163.jpg,Apidae
21,Apidae/aff1e3dd-8900-4cc9-b77c-a91a72a4604b.JPG,Apidae
22,Apidae/419fd119-8236-4d4b-b28d-725d2bfd9088.jpg,Apidae
23,Apidae/1534965813634.jpg,Apidae
24,Apidae/1471863029257.jpg,Apidae
25,Apidae/ba21f6e1-8d13-4bcf-8a37-ac6b8f868d8f.JPG,Apidae
26,Apidae/1397250534983.jpg,Apidae
27,Apidae/1371195626876.jpg,Apidae
28,Apidae/4904eac8-4076-47a6-aaf7-003812a71618.jpg,Apidae
29,Apidae/b5d4bc7e-2208-49b3-a19d-daf346e8c38c.jpg,Apidae
30,Apidae/1375997554819.jpg,Apidae
31,Apidae/1488544990809.jpg,Apidae
32,Apidae/13141997651314209943767.jpg,Apidae
33,Apidae/1413367936232.jpg,Apidae
34,Apidae/1532067709968.jpg,Apidae
35,Apidae/44d9c21f-05bf-49a1-85e6-7f660d26e7fc.JPG,Apidae
36,Apidae/7f54770e-c9ec-4559-ab11-d35ec0429387.jpg,Apidae
37,Apidae/1397629222885.jpg,Apidae
38,Apidae/1535388872600.jpg,Apidae
39,Apidae/1497467610164.jpg,Apidae
40,La Punaise du Chou (Eurydema oleracea)/7ebab569-89a4-4c6b-ade4-9f044233e738.JPG,La Punaise du Chou (Eurydema oleracea)
41,La Punaise du Chou (Eurydema oleracea)/1443038630297.jpg,La Punaise du Chou (Eurydema oleracea)
42,La Punaise du Chou (Eurydema oleracea)/1368481353449.jpg,La Punaise du Chou (Eurydema oleracea)
43,La Punaise du Chou (Eurydema oleracea)/1511784965282.jpg,La Punaise du Chou (Eurydema oleracea)
44,La Punaise du Chou (Eurydema oleracea)/1399060719684.jpg,La Punaise du Chou (Eurydema oleracea)
45,La Punaise du Chou (Eurydema oleracea)/1526760312185.jpg,La Punaise du Chou (Eurydema oleracea)
46,La Punaise du Chou (Eurydema oleracea)/1558518975707.jpg,La Punaise du Chou (Eurydema oleracea)
47,La Punaise du Chou (Eurydema oleracea)/1531400628465.jpg,La Punaise du Chou (Eurydema oleracea)
48,La Punaise du Chou (Eurydema oleracea)/12374e04-3e59-4d06-bcbb-b8ec171e5147.JPG,La Punaise du Chou (Eurydema oleracea)
49,La Punaise du Chou (Eurydema oleracea)/1473019764442.jpg,La Punaise du Chou (Eurydema oleracea)
50,La Punaise du Chou (Eurydema oleracea)/1431293651480.jpg,La Punaise du Chou (Eurydema oleracea)
51,La Punaise du Chou (Eurydema oleracea)/1556008227943.jpg,La Punaise du Chou (Eurydema oleracea)
52,La Punaise du Chou (Eurydema oleracea)/5024eef9-376c-44b5-b15a-f4c48133b5fd.jpg,La Punaise du Chou (Eurydema oleracea)
53,La Punaise du Chou (Eurydema oleracea)/1507302625172.jpg,La Punaise du Chou (Eurydema oleracea)
54,La Punaise du Chou (Eurydema oleracea)/1435088465364.jpg,La Punaise du Chou (Eurydema oleracea)
55,La Punaise du Chou (Eurydema oleracea)/1466327713197.jpg,La Punaise du Chou (Eurydema oleracea)
56,La Punaise du Chou (Eurydema oleracea)/1434214376725.jpg,La Punaise du Chou (Eurydema oleracea)
57,La Punaise du Chou (Eurydema oleracea)/1412110880953.jpg,La Punaise du Chou (Eurydema oleracea)
58,La Punaise du Chou (Eurydema oleracea)/1537272541622.jpg,La Punaise du Chou (Eurydema oleracea)
59,La Punaise du Chou (Eurydema oleracea)/1506335516861.jpg,La Punaise du Chou (Eurydema oleracea)
60,La Punaise du Chou (Eurydema oleracea)/1556008250817.jpg,La Punaise du Chou (Eurydema oleracea)
61,La Punaise du Chou (Eurydema oleracea)/1471290548973.jpg,La Punaise du Chou (Eurydema oleracea)
62,La Punaise du Chou (Eurydema oleracea)/1382123224194.jpg,La Punaise du Chou (Eurydema oleracea)
63,La Punaise du Chou (Eurydema oleracea)/1509559817023.jpg,La Punaise du Chou (Eurydema oleracea)
64,La Punaise du Chou (Eurydema oleracea)/aaaa2eef-d015-4da2-8d1d-78d11cf44cad.JPG,La Punaise du Chou (Eurydema oleracea)
65,La Punaise du Chou (Eurydema oleracea)/1402821981202.jpg,La Punaise du Chou (Eurydema oleracea)
66,La Punaise du Chou (Eurydema oleracea)/1425743205188.jpg,La Punaise du Chou (Eurydema oleracea)
