,filepath,class
0,Corn Gray leaf spot/5790.jpg,Corn Gray leaf spot
1,Corn Gray leaf spot/16753.jpg,Corn Gray leaf spot
2,Corn Gray leaf spot/18586.jpg,Corn Gray leaf spot
3,Corn Gray leaf spot/16904.jpg,Corn Gray leaf spot
4,Corn Gray leaf spot/18594.jpg,Corn Gray leaf spot
5,Corn Gray leaf spot/7277.jpg,Corn Gray leaf spot
6,Corn Gray leaf spot/19960.jpg,Corn Gray leaf spot
7,Corn Gray leaf spot/14385.jpg,Corn Gray leaf spot
8,Corn Gray leaf spot/15499.jpg,Corn Gray leaf spot
9,Corn Gray leaf spot/10677.jpg,Corn Gray leaf spot
10,Corn Gray leaf spot/11967.jpg,Corn Gray leaf spot
11,Corn Gray leaf spot/16857.jpg,Corn Gray leaf spot
12,Corn Gray leaf spot/7524.jpg,Corn Gray leaf spot
13,Corn Gray leaf spot/1732.jpg,Corn Gray leaf spot
14,Corn Gray leaf spot/9756.jpg,Corn Gray leaf spot
15,Corn Gray leaf spot/8767.jpg,Corn Gray leaf spot
16,Corn Gray leaf spot/12316.jpg,Corn Gray leaf spot
17,Corn Gray leaf spot/9925.jpg,Corn Gray leaf spot
18,Corn Gray leaf spot/10549.jpg,Corn Gray leaf spot
19,Corn Gray leaf spot/11214.jpg,Corn Gray leaf spot
20,Corn Gray leaf spot/19578.jpg,Corn Gray leaf spot
21,Corn Gray leaf spot/4225.jpg,Corn Gray leaf spot
22,Corn Gray leaf spot/18468.jpg,Corn Gray leaf spot
23,Corn Gray leaf spot/7363.jpg,Corn Gray leaf spot
24,Corn Gray leaf spot/6236.jpg,Corn Gray leaf spot
25,Corn Gray leaf spot/17791.jpg,Corn Gray leaf spot
26,Corn Gray leaf spot/14904.jpg,Corn Gray leaf spot
27,Corn Gray leaf spot/9711.jpg,Corn Gray leaf spot
28,Corn Gray leaf spot/17627.jpg,Corn Gray leaf spot
29,Corn Gray leaf spot/1395.jpg,Corn Gray leaf spot
30,Corn Gray leaf spot/14612.jpg,Corn Gray leaf spot
31,Corn Gray leaf spot/15602.jpg,Corn Gray leaf spot
32,Corn Gray leaf spot/4805.jpg,Corn Gray leaf spot
33,Corn Gray leaf spot/10588.jpg,Corn Gray leaf spot
34,Corn Gray leaf spot/14870.jpg,Corn Gray leaf spot
35,Corn Gray leaf spot/9040.jpg,Corn Gray leaf spot
36,Corn Gray leaf spot/6958.jpg,Corn Gray leaf spot
37,Corn Gray leaf spot/16906.jpg,Corn Gray leaf spot
38,Corn Gray leaf spot/19102.jpg,Corn Gray leaf spot
39,Corn Gray leaf spot/19394.jpg,Corn Gray leaf spot
40,Squash Powdery mildew leaf/13087.jpg,Squash Powdery mildew leaf
41,Squash Powdery mildew leaf/14829.jpg,Squash Powdery mildew leaf
42,Squash Powdery mildew leaf/17790.jpg,Squash Powdery mildew leaf
43,Squash Powdery mildew leaf/10011.jpg,Squash Powdery mildew leaf
44,Squash Powdery mildew leaf/4831.jpg,Squash Powdery mildew leaf
45,Squash Powdery mildew leaf/14687.jpg,Squash Powdery mildew leaf
46,Squash Powdery mildew leaf/9232.jpg,Squash Powdery mildew leaf
47,Squash Powdery mildew leaf/1945.jpg,Squash Powdery mildew leaf
48,Squash Powdery mildew leaf/18850.jpg,Squash Powdery mildew leaf
49,Squash Powdery mildew leaf/13235.jpg,Squash Powdery mildew leaf
50,Squash Powdery mildew leaf/4966.jpg,Squash Powdery mildew leaf
51,Squash Powdery mildew leaf/2095.jpg,Squash Powdery mildew leaf
52,Squash Powdery mildew leaf/12566.jpg,Squash Powdery mildew leaf
53,Squash Powdery mildew leaf/2972.jpg,Squash Powdery mildew leaf
54,Squash Powdery mildew leaf/16117.jpg,Squash Powdery mildew leaf
55,Squash Powdery mildew leaf/5350.jpg,Squash Powdery mildew leaf
56,Squash Powdery mildew leaf/10689.jpg,Squash Powdery mildew leaf
57,Squash Powdery mildew leaf/11382.jpg,Squash Powdery mildew leaf
58,Squash Powdery mildew leaf/16478.jpg,Squash Powdery mildew leaf
59,Squash Powdery mildew leaf/5481.jpg,Squash Powdery mildew leaf
60,Squash Powdery mildew leaf/8413.jpg,Squash Powdery mildew leaf
61,Squash Powdery mildew leaf/19148.jpg,Squash Powdery mildew leaf
62,Squash Powdery mildew leaf/12861.jpg,Squash Powdery mildew leaf
63,Squash Powdery mildew leaf/19993.jpg,Squash Powdery mildew leaf
64,Squash Powdery mildew leaf/12972.jpg,Squash Powdery mildew leaf
65,Squash Powdery mildew leaf/2406.jpg,Squash Powdery mildew leaf
66,Squash Powdery mildew leaf/17031.jpg,Squash Powdery mildew leaf
67,Squash Powdery mildew leaf/5128.jpg,Squash Powdery mildew leaf
68,Squash Powdery mildew leaf/13544.jpg,Squash Powdery mildew leaf
69,Squash Powdery mildew leaf/17760.jpg,Squash Powdery mildew leaf
70,Squash Powdery mildew leaf/8438.jpg,Squash Powdery mildew leaf
71,Squash Powdery mildew leaf/11182.jpg,Squash Powdery mildew leaf
72,Squash Powdery mildew leaf/13068.jpg,Squash Powdery mildew leaf
73,Squash Powdery mildew leaf/7851.jpg,Squash Powdery mildew leaf
74,Squash Powdery mildew leaf/3528.jpg,Squash Powdery mildew leaf
75,Squash Powdery mildew leaf/8398.jpg,Squash Powdery mildew leaf
