,filepath,class
0,Tomato___Late_blight/96629.jpg,Tomato___Late_blight
1,Tomato___Late_blight/85321.jpg,Tomato___Late_blight
2,Tomato___Late_blight/13617.jpg,Tomato___Late_blight
3,Tomato___Late_blight/192435.jpg,Tomato___Late_blight
4,Tomato___Late_blight/76118.jpg,Tomato___Late_blight
5,Tomato___Late_blight/149292.jpg,Tomato___Late_blight
6,Tomato___Late_blight/172193.jpg,Tomato___Late_blight
7,Tomato___Late_blight/145851.jpg,Tomato___Late_blight
8,Tomato___Late_blight/37106.jpg,Tomato___Late_blight
9,Tomato___Late_blight/188901.jpg,Tomato___Late_blight
10,Tomato___Late_blight/84465.jpg,Tomato___Late_blight
11,Tomato___Late_blight/164085.jpg,Tomato___Late_blight
12,Tomato___Late_blight/101704.jpg,Tomato___Late_blight
13,Tomato___Late_blight/169273.jpg,Tomato___Late_blight
14,Tomato___Late_blight/162066.jpg,Tomato___Late_blight
15,Tomato___Late_blight/55949.jpg,Tomato___Late_blight
16,Tomato___Late_blight/149094.jpg,Tomato___Late_blight
17,Tomato___Late_blight/74303.jpg,Tomato___Late_blight
18,Tomato___Late_blight/190179.jpg,Tomato___Late_blight
19,Tomato___Late_blight/131130.jpg,Tomato___Late_blight
20,Tomato___Late_blight/32222.jpg,Tomato___Late_blight
21,Tomato___Late_blight/22655.jpg,Tomato___Late_blight
22,Tomato___Late_blight/175772.jpg,Tomato___Late_blight
23,Tomato___Late_blight/77241.jpg,Tomato___Late_blight
24,Tomato___Late_blight/91210.jpg,Tomato___Late_blight
25,Tomato___Late_blight/89615.jpg,Tomato___Late_blight
26,Tomato___Late_blight/167131.jpg,Tomato___Late_blight
27,Tomato___Late_blight/81442.jpg,Tomato___Late_blight
28,Tomato___Late_blight/102782.jpg,Tomato___Late_blight
29,Tomato___Late_blight/131314.jpg,Tomato___Late_blight
30,Tomato___Late_blight/130876.jpg,Tomato___Late_blight
31,Tomato___Late_blight/196904.jpg,Tomato___Late_blight
32,Tomato___Late_blight/48485.jpg,Tomato___Late_blight
33,Tomato___Late_blight/24479.jpg,Tomato___Late_blight
34,Tomato___Late_blight/170449.jpg,Tomato___Late_blight
35,Tomato___Late_blight/93411.jpg,Tomato___Late_blight
36,Tomato___Late_blight/57158.jpg,Tomato___Late_blight
37,Tomato___Late_blight/122090.jpg,Tomato___Late_blight
38,Tomato___Late_blight/160281.jpg,Tomato___Late_blight
39,Tomato___Late_blight/49162.jpg,Tomato___Late_blight
40,Tomato___Tomato_Yellow_Leaf_Curl_Virus/157212.jpg,Tomato___Tomato_Yellow_Leaf_Curl_Virus
41,Tomato___Tomato_Yellow_Leaf_Curl_Virus/154196.jpg,Tomato___Tomato_Yellow_Leaf_Curl_Virus
42,Tomato___Tomato_Yellow_Leaf_Curl_Virus/195589.jpg,Tomato___Tomato_Yellow_Leaf_Curl_Virus
43,Tomato___Tomato_Yellow_Leaf_Curl_Virus/158172.jpg,Tomato___Tomato_Yellow_Leaf_Curl_Virus
44,Tomato___Tomato_Yellow_Leaf_Curl_Virus/196732.jpg,Tomato___Tomato_Yellow_Leaf_Curl_Virus
