,kingdom,phylum,cls,order,family,genus,species,common_name,filepath,class
0,Animalia,Mollusca,Bivalvia,Unionida,Unionidae,Cyclonaias,tuberculata,purple wartyback,2024-03-20/12853737_449393_eol-full-size-copy.jpg,Cyclonaias tuberculata
1,Animalia,Mollusca,Bivalvia,Unionida,Unionidae,Cyclonaias,tuberculata,purple wartyback,2024-03-20/21411803_449393_eol-full-size-copy.jpg,Cyclonaias tuberculata
2,Animalia,Mollusca,Bivalvia,Unionida,Unionidae,Cyclonaias,tuberculata,purple wartyback,2024-03-20/21411800_449393_eol-full-size-copy.jpg,Cyclonaias tuberculata
3,Animalia,Mollusca,Bivalvia,Unionida,Unionidae,Cyclonaias,tuberculata,purple wartyback,2024-03-20/21411798_449393_eol-full-size-copy.jpg,Cyclonaias tuberculata
4,Animalia,Mollusca,Bivalvia,Unionida,Unionidae,Cyclonaias,tuberculata,purple wartyback,2024-03-20/21411806_449393_eol-full-size-copy.jpg,Cyclonaias tuberculata
5,Animalia,Mollusca,Bivalvia,Unionida,Unionidae,Cyclonaias,tuberculata,purple wartyback,2024-03-20/12853730_449393_eol-full-size-copy.jpg,Cyclonaias tuberculata
6,Animalia,Mollusca,Bivalvia,Unionida,Unionidae,Cyclonaias,tuberculata,purple wartyback,2024-03-20/21411793_449393_eol-full-size-copy.jpg,Cyclonaias tuberculata
7,Animalia,Mollusca,Bivalvia,Unionida,Unionidae,Cyclonaias,tuberculata,purple wartyback,2024-03-20/12853740_449393_eol-full-size-copy.jpg,Cyclonaias tuberculata
8,Animalia,Mollusca,Bivalvia,Unionida,Unionidae,Cyclonaias,tuberculata,purple wartyback,2024-03-20/12853736_449393_eol-full-size-copy.jpg,Cyclonaias tuberculata
9,Animalia,Mollusca,Bivalvia,Unionida,Unionidae,Cyclonaias,tuberculata,purple wartyback,2024-03-20/12853732_449393_eol-full-size-copy.jpg,Cyclonaias tuberculata
10,Animalia,Mollusca,Bivalvia,Unionida,Unionidae,Cyclonaias,tuberculata,purple wartyback,2024-03-20/21411787_449393_eol-full-size-copy.jpg,Cyclonaias tuberculata
11,Animalia,Mollusca,Bivalvia,Unionida,Unionidae,Cyclonaias,tuberculata,purple wartyback,2024-03-20/12853735_449393_eol-full-size-copy.jpg,Cyclonaias tuberculata
12,Animalia,Mollusca,Bivalvia,Unionida,Unionidae,Cyclonaias,tuberculata,purple wartyback,2024-03-20/21411788_449393_eol-full-size-copy.jpg,Cyclonaias tuberculata
13,Animalia,Mollusca,Bivalvia,Unionida,Unionidae,Cyclonaias,tuberculata,purple wartyback,2024-03-20/12853731_449393_eol-full-size-copy.jpg,Cyclonaias tuberculata
